City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Vidim,RU,2022-05-18 20:26:17,56.4088,103.1106,53.8,82,97,2.48
102,Strezhevoy,RU,2022-05-18 20:26:18,60.7333,77.5889,53.96,78,70,5.66
103,Bosaso,SO,2022-05-18 20:26:18,11.2842,49.1816,88.72,39,12,7.07
104,Kutum,SD,2022-05-18 20:26:18,14.2,24.6667,83.84,15,95,8.48
105,Phalodi,IN,2022-05-18 20:26:19,27.1333,72.3667,91.76,19,0,8.75
106,Luwuk,ID,2022-05-18 20:26:19,-0.9516,122.7875,76.89,91,99,3.91
107,Nouadhibou,MR,2022-05-18 20:26:20,20.931,-17.0347,67.98,83,96,20.71
108,Salamiyah,SY,2022-05-18 20:26:20,35.0113,37.0532,66.18,52,0,5.91
109,Northam,GB,2022-05-18 20:26:21,51.0333,-4.2167,53.38,93,100,9.98
110,Mahibadhoo,MV,2022-05-18 20:26:21,3.7833,72.9667,83.52,79,100,17.56
111,Mandalay,MM,2022-05-18 20:21:37,21.9747,96.0836,84.34,66,96,6.35
112,Whitehorse,CA,2022-05-18 20:26:22,60.7161,-135.0538,52.02,31,40,11.5
113,Ugoofaaru,MV,2022-05-18 20:26:22,5.6667,73.0,83.75,78,100,18.72
114,Zhovtneve,UA,2022-05-18 20:26:23,50.6637,24.2492,45.05,81,5,7.61
115,Jatai,BR,2022-05-18 20:24:42,-17.8814,-51.7144,62.98,29,100,9.42
116,Rapar,IN,2022-05-18 20:26:24,23.5667,70.6333,83.75,61,0,15.61
117,Sisimiut,GL,2022-05-18 20:26:24,66.9395,-53.6735,41.83,50,0,9.78
118,Coquimbo,CL,2022-05-18 20:26:25,-29.9533,-71.3436,58.73,77,0,17.27
119,Koumac,NC,2022-05-18 20:26:25,-20.5667,164.2833,74.12,78,0,5.39
120,Gull Lake,CA,2022-05-18 20:26:01,50.1001,-108.4847,59.45,34,93,7.34
121,Nantucket,US,2022-05-18 20:26:12,41.2835,-70.0995,66.34,51,0,18.41
122,Vygonichi,RU,2022-05-18 20:26:26,53.0985,34.0673,50.11,62,16,8.95
123,Nhulunbuy,AU,2022-05-18 20:26:26,-12.2333,136.7667,72.21,94,31,0.0
