City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
139,Saskylakh,71.9167,114.0833,31.89,94,100,6.85,RU,2022-05-21 01:09:45,overcast clouds
140,Svetlogorsk,52.6333,29.7333,55.65,98,100,8.05,BY,2022-05-21 01:09:46,overcast clouds
141,Chapayevka,47.4711,36.3451,55.47,76,100,12.01,UA,2022-05-21 01:09:46,overcast clouds
142,Yerbogachen,61.2767,108.0108,47.53,89,100,2.55,RU,2022-05-21 01:09:47,overcast clouds
143,San Francisco,37.7749,-122.4194,83.32,55,20,27.63,US,2022-05-21 01:07:46,few clouds
144,Rawson,-43.3002,-65.1023,60.15,44,0,25.08,AR,2022-05-21 01:09:47,clear sky
145,Belaya Gora,68.5333,146.4167,50.76,56,100,7.9,RU,2022-05-21 01:09:48,overcast clouds
146,Dingle,10.9995,122.6711,79.25,83,98,4.45,PH,2022-05-21 01:09:48,overcast clouds
147,Viedma,-40.8135,-62.9967,54.52,45,0,11.61,AR,2022-05-21 01:09:30,clear sky
148,Kaitangata,-46.2817,169.8464,45.81,83,98,21.45,NZ,2022-05-21 01:09:49,overcast clouds
149,Baie-Comeau,49.2168,-68.1489,47.61,80,96,6.11,CA,2022-05-21 01:06:24,overcast clouds
150,Broome,42.2506,-75.833,70.38,82,75,9.22,US,2022-05-21 01:09:49,broken clouds
151,Misratah,32.3754,15.0925,63.75,60,0,1.05,LY,2022-05-21 01:09:50,clear sky
152,Mumbwa,-14.9783,27.0619,64.69,56,73,2.1,ZM,2022-05-21 01:09:50,broken clouds
153,Burla,21.5,83.8667,87.75,43,0,3.15,IN,2022-05-21 01:09:51,clear sky
154,Wuda,39.4994,106.7117,75.47,15,10,10.22,CN,2022-05-21 01:09:51,clear sky
155,Ubinskoye,55.3068,79.6802,54.32,74,100,1.28,RU,2022-05-21 01:09:52,overcast clouds
156,Clyde River,70.4692,-68.5914,23.9,88,100,5.08,CA,2022-05-21 01:09:52,overcast clouds
157,Burnie,-41.0667,145.9167,60.94,61,69,2.84,AU,2022-05-21 01:09:53,broken clouds
158,Togul,53.465,85.9128,59.95,61,100,6.29,RU,2022-05-21 01:09:53,overcast clouds
159,Kamenka,51.3223,42.7678,35.67,78,6,5.17,RU,2022-05-21 01:09:54,clear sky
160,Mackenzie,55.2999,-123.1698,54.1,23,12,9.04,CA,2022-05-21 01:05:07,few clouds
161,Nyurba,63.2842,118.3319,56.19,59,100,3.56,RU,2022-05-21 01:09:54,light rain
162,Luderitz,-26.6481,15.1594,50.61,73,0,10.63,NA,2022-05-21 01:09:55,clear sky
163,Cayenne,4.9333,-52.3333,75.09,1,100,0.0,GF,2022-05-21 01:09:55,overcast clouds
164,Yuzhnyy,53.2542,83.6936,65.53,29,0,11.18,RU,2022-05-21 01:09:56,clear sky
165,La Palma,33.8464,-118.0467,66.96,78,100,10.36,US,2022-05-21 01:09:56,overcast clouds
166,Russell,32.3502,-85.1999,80.2,83,0,0.0,US,2022-05-21 01:09:13,clear sky
167,Kachiry,53.0675,76.1036,63.19,51,24,8.16,KZ,2022-05-21 01:09:57,few clouds
168,Isangel,-19.55,169.2667,80.71,74,40,19.57,VU,2022-05-21 01:09:57,scattered clouds
169,Mkushi,-13.6202,29.3939,60.96,75,23,3.53,ZM,2022-05-21 01:09:58,few clouds
170,Ancud,-41.8697,-73.8203,52.3,91,100,15.68,CL,2022-05-21 01:09:58,moderate rain
171,Seoul,37.5683,126.9778,70.99,59,34,5.26,KR,2022-05-21 01:09:59,scattered clouds
172,Kloulklubed,7.0419,134.2556,79.3,78,100,10.0,PW,2022-05-21 01:09:59,overcast clouds
173,Bethel,41.3712,-73.414,64.49,90,100,3.44,US,2022-05-21 01:10:00,moderate rain
174,Boundiali,9.5217,-6.4869,75.0,81,98,9.08,CI,2022-05-21 01:10:00,overcast clouds
175,Talcahuano,-36.7167,-73.1167,49.68,93,8,0.0,CL,2022-05-21 01:10:01,mist
176,Katobu,-4.9408,122.5276,82.87,72,85,7.49,ID,2022-05-21 01:10:01,overcast clouds
177,Hasaki,35.7333,140.8333,70.2,70,100,12.75,JP,2022-05-21 01:10:02,light rain
178,Ocos,14.5094,-92.1933,84.38,71,100,6.2,GT,2022-05-21 01:10:02,overcast clouds
179,Salalah,17.0151,54.0924,84.29,74,75,5.75,OM,2022-05-21 01:10:03,broken clouds
180,Puerto Madryn,-42.7692,-65.0385,60.8,42,0,21.47,AR,2022-05-21 01:08:32,clear sky
181,Paamiut,61.994,-49.6678,34.81,83,71,7.9,GL,2022-05-21 01:11:03,broken clouds
182,Nalut,30.3333,10.85,65.52,46,0,19.62,LY,2022-05-21 01:11:04,clear sky
183,Dhangadhi,28.7079,80.5961,83.39,44,35,6.08,NP,2022-05-21 01:07:05,scattered clouds
184,Atar,20.5169,-13.0499,84.04,22,47,4.85,MR,2022-05-21 01:11:05,scattered clouds
185,Mahebourg,-20.4081,57.7,75.25,88,40,11.5,MU,2022-05-21 01:11:05,scattered clouds
186,Lazaro Cardenas,17.9583,-102.2,78.69,69,1,9.75,MX,2022-05-21 01:07:57,clear sky
187,Bugiri,0.5714,33.7417,65.57,92,100,4.38,UG,2022-05-21 01:11:06,light rain
188,Pag,44.445,15.0575,52.38,59,6,3.49,HR,2022-05-21 01:11:06,clear sky
189,Talnakh,69.4865,88.3972,42.21,77,84,9.6,RU,2022-05-21 01:11:07,broken clouds
