City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
503,Binzhou,CN,83.62,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
505,Balud,PH,85.96,overcast clouds,10.1476,123.6953,Pulchra Resort
507,Lalmohan,BD,85.39,clear sky,22.3384,90.7419,Arifur Rahman Miraj
515,Tual,ID,84.07,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
523,Port Moresby,PG,89.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
529,Porbandar,IN,81.93,clear sky,21.6422,69.6093,Lords Inn Porbandar
531,Pochutla,MX,82.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
532,Bourail,NC,79.11,overcast clouds,-21.5667,165.4833,Motel Allamanda
533,Acu,BR,75.58,overcast clouds,-5.5767,-36.9086,Hotel Oásis
535,Laguna,US,83.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
536,La Asuncion,VE,80.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
539,Alyangula,AU,84.27,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
541,San Juan Del Sur,NI,77.5,overcast clouds,11.2529,-85.8705,Nuestra Casa
542,Galesong,ID,80.62,overcast clouds,-5.3166,119.3661,Sapriadi Appy
546,Port-Gentil,GA,78.49,overcast clouds,-0.7193,8.7815,Fengshui Residence
548,Isla Mujeres,MX,82.45,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
565,Ranong,TH,78.73,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
570,Parrita,CR,76.95,overcast clouds,9.5201,-84.3225,Beso del Viento
572,Sola,VU,81.91,scattered clouds,-13.8833,167.55,Leumerus Bungalows
574,Salinopolis,BR,75.29,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
579,Patiya,BD,81.79,clear sky,22.2931,91.9762,Simon and marup bila
583,Metro,ID,78.98,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
589,Hirara,JP,78.66,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
590,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
593,Sur,OM,87.49,clear sky,22.5667,59.5289,Sur Plaza Hotel
595,Dalbandin,PK,78.06,clear sky,28.8947,64.4101,Sanjrani House
597,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
598,Bubaque,GW,78.62,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
599,Austin,US,86.11,clear sky,30.2672,-97.7431,The Driskill - In the Unbound Collection by Hyatt
605,Lucea,JM,82.26,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
610,Srivardhan,IN,81.5,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
613,Tondano,ID,80.69,broken clouds,1.3038,124.9112,Villa Bella
614,Achutupo,PA,77.11,overcast clouds,9.2,-77.9833,Akwa Reef Lodge
618,Meulaboh,ID,79.16,overcast clouds,4.1363,96.1285,Kost Pria
634,Aksu,CN,75.4,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
635,Arlit,NE,85.89,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
644,Morgan City,US,82.99,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
645,Oussouye,SN,75.74,clear sky,12.485,-16.5469,Auberge du Routard
648,Ukiah,US,80.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
652,Quatre Cocos,MU,75.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
653,Muisne,EC,77.68,overcast clouds,0.6,-80.0333,Quinta Samay
657,Edgewater,US,75.43,moderate rain,28.9889,-80.9023,Islander Beach Resort
661,Siocon,PH,83.28,moderate rain,7.7061,122.1353,ABS Hotel
665,Tank,PK,85.77,clear sky,32.2217,70.3793,Gula Jan Abdulai
667,Jijiang,CN,75.36,overcast clouds,29.2906,106.2542,Chongqing Jiangjin Hotel
669,Kaohsiung,TW,83.03,haze,22.6163,120.3133,御宿商旅-中山館
670,Celestun,MX,86.38,overcast clouds,20.8667,-90.4,Posada Lilia
673,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
675,Gizo,SB,85.28,clear sky,-8.103,156.8419,Imagination Island
681,Bluefields,NI,76.35,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
682,Domoni,KM,76.55,clear sky,-12.2569,44.5319,Al Djadid
686,Cockburn Town,TC,79.86,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
687,Bonthe,SL,78.22,light rain,7.5264,-12.505,Bonthe Holiday Village
689,Ciudad Guayana,VE,81.52,clear sky,8.3533,-62.6528,Hotel Las Americas
690,Nanakuli,US,85.95,light rain,21.3906,-158.1547,Camp Pālehua
691,Kiunga,PG,82.94,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
701,Nabire,ID,84.99,clear sky,-3.3667,135.4833,Hotel Nusantara I
703,Mana,GF,76.33,light rain,5.6592,-53.7767,LE SAMANA
706,Kalmunai,LK,80.35,clear sky,7.4167,81.8167,VS Villa
707,Quibdo,CO,79.14,broken clouds,5.6947,-76.6611,Domus Goval Hotel Quibdó
712,Tevaitoa,PF,79.75,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
715,Janakpur,NP,81.03,clear sky,26.7183,85.9065,Hotel Sita Palace
716,Denpasar,ID,85.66,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
718,Macapa,BR,76.98,clear sky,0.0389,-51.0664,Atalanta Hotel
